"A","B","SOA","acc","accuracy","allow_1","allow_2","average_response_time","avg_rt","background","bidi","block","block_id","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_bienvenido","correct_inst1","correct_keyboard_response","correct_keyboard_response_1","correct_response","correct_w","correct_w_1","count_B","count_C","count_Main","count_about_this_template","count_bienvenido","count_blank","count_block_loop","count_config","count_cross","count_cross_1","count_end","count_end_1","count_end_of_experiment","count_end_of_practice","count_experiment","count_feedback","count_feedback_1","count_feedback_2","count_incorrecto","count_ins1","count_ins_2","count_inst1","count_inst2","count_inst_UR_1","count_inst_UR_def","count_inst_UR_def_1","count_instr_80","count_instr_80_1","count_instrucciones","count_instructions","count_insts_previous","count_inter","count_interbloque","count_keyboard_response","count_keyboard_response_1","count_logger","count_logger_1","count_loop_150","count_loop_80","count_loop_prc","count_loop_ur","count_loop_ur_PRC","count_new_form_multiple_choice","count_new_logger","count_new_loop","count_practice_loop","count_randomization","count_randomization_1","count_reset_feedback","count_response","count_seq_UR","count_seq_UR_1","count_target","count_target_1","count_target_1_1","count_trial_sequence","count_ur_inst_sp","count_ur_inst_sp_1","count_w","count_w_1","datetime","description","disable_garbage_collection","empty_column","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_var","fullscreen","height","id","keyboard_backend","live_row","live_row_loop_prc","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","resp","response","response_bienvenido","response_end_of_experiment","response_end_of_practice","response_feedback","response_ins1","response_inst1","response_inst_UR_def_1","response_instructions","response_keyboard_response","response_keyboard_response_1","response_time","response_time_bienvenido","response_time_end_of_experiment","response_time_end_of_practice","response_time_feedback","response_time_ins1","response_time_inst1","response_time_inst_UR_def_1","response_time_instructions","response_time_keyboard_response","response_time_keyboard_response_1","response_time_w","response_time_w_1","response_w","response_w_1","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stim_left","stim_name","stim_right","stim_type","subject_nr","subject_parity","tecla_dif","tecla_igual","time_B","time_C","time_Main","time_about_this_template","time_bienvenido","time_blank","time_block_loop","time_config","time_cross","time_cross_1","time_end","time_end_1","time_end_of_experiment","time_end_of_practice","time_experiment","time_feedback","time_feedback_1","time_feedback_2","time_incorrecto","time_ins1","time_ins_2","time_inst1","time_inst2","time_inst_UR_1","time_inst_UR_def","time_inst_UR_def_1","time_instr_80","time_instr_80_1","time_instrucciones","time_instructions","time_insts_previous","time_inter","time_interbloque","time_keyboard_response","time_keyboard_response_1","time_logger","time_logger_1","time_loop_150","time_loop_80","time_loop_prc","time_loop_ur","time_loop_ur_PRC","time_new_form_multiple_choice","time_new_logger","time_new_loop","time_practice_loop","time_randomization","time_randomization_1","time_reset_feedback","time_response","time_seq_UR","time_seq_UR_1","time_target","time_target_1","time_target_1_1","time_trial_sequence","time_ur_inst_sp","time_ur_inst_sp_1","time_w","time_w_1","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"curved_id_67_7_19.png","sharp_id_67_7_19.png","80","0","0","A","L","13124.3333333","13124.3333333","#c0c0c0","yes","NA","practice","xpyriment","legacy","legacy","0","uniform","0","undefined","undefined","0","NA","L","undefined","NA","NA","NA","0","NA","0","0","NA","0","1","NA","1","NA","0","NA","0","NA","0","NA","0","NA","NA","0","0","0","0","0","0","0","0","NA","NA","0","0","1","NA","0","NA","0","0","0","0","0","NA","NA","NA","NA","0","NA","NA","1","NA","NA","1","NA","NA","0","0","NA","4","NA","vie 06 oct 2017 13:15:32 CEST","A template containing a practice and an experimental phase","yes","NA","discrimination_01.osexp","/home/usuario/Dropbox/Exp/01_discrimination_ok","no","mono","no","18","no","black","no","NA","yes","1080","prc4","legacy","0","0","/home/usuario/Dropbox/Exp/01_discrimination_ok/subject-15.csv","xpyriment","Jazzy James","3.1.2b1","0","dif","a","l","NA","NA","NA","NA","m","NA","NA","a","NA","16928","210886","NA","NA","NA","NA","71743","NA","NA","16928","NA","10421","NA","space","NA","2","legacy","1024","2","48000","-16","experiment","curved_id_67_7_19.png","NA","sharp_id_67_7_19.png","a","15","odd","L","A","NA","NA","295860","NA","2736","NA","NA","2729","311912","NA","NA","NA","NA","NA","2729","NA","308906","NA","308909","NA","NA","213626","285373","NA","NA","NA","NA","NA","2729","NA","NA","NA","NA","296881","NA","313868","NA","NA","NA","295860","NA","NA","NA","NA","NA","NA","296389","NA","NA","312397","NA","NA","312315","NA","NA","296389","NA","NA","285373","NA","Extended template","0","39373","3","yes","1920"
"dist_sharp_id_8_9_164.png","dist_sharp_id_8_9_164.png","80","25","25","A","L","9296.6","9296.6","#c0c0c0","yes","NA","practice","xpyriment","legacy","legacy","0","uniform","1","undefined","undefined","1","NA","A","undefined","NA","NA","NA","0","NA","0","0","NA","0","3","NA","2","NA","0","NA","0","NA","1","NA","1","NA","NA","0","0","0","0","0","0","0","0","NA","NA","0","0","3","NA","1","NA","0","0","0","0","0","NA","NA","NA","NA","1","NA","NA","3","NA","NA","3","NA","NA","1","0","NA","4","NA","vie 06 oct 2017 13:15:32 CEST","A template containing a practice and an experimental phase","yes","NA","discrimination_01.osexp","/home/usuario/Dropbox/Exp/01_discrimination_ok","no","mono","no","18","no","black","no","NA","yes","1080","prc7","legacy","1","1","/home/usuario/Dropbox/Exp/01_discrimination_ok/subject-15.csv","xpyriment","Jazzy James","3.1.2b1","0","same","a","l","NA","NA","NA","NA","m","NA","NA","a","NA","6143","210886","NA","NA","NA","NA","71743","NA","NA","6143","NA","10421","NA","space","NA","2","legacy","1024","2","48000","-16","experiment","dist_sharp_id_8_9_164.png","NA","dist_sharp_id_8_9_164.png","c","15","odd","L","A","NA","NA","295860","NA","2736","NA","NA","2729","319066","NA","313993","NA","NA","NA","2729","NA","316056","NA","316060","NA","NA","213626","285373","NA","NA","NA","NA","NA","2729","NA","NA","NA","NA","315089","NA","321290","NA","NA","NA","295860","NA","NA","NA","NA","NA","NA","314597","NA","NA","319557","NA","NA","319471","NA","NA","314597","NA","NA","285373","NA","Extended template","1","46483","5","yes","1920"
"dist_round_id_59_20_29.png","dist_round_id_59_20_29.png","80","40","40","A","L","7896.66666667","7896.66666667","#c0c0c0","yes","NA","practice","xpyriment","legacy","legacy","0","uniform","1","undefined","undefined","1","NA","A","undefined","NA","NA","NA","0","NA","0","0","NA","0","5","NA","3","NA","0","NA","0","NA","2","NA","2","NA","NA","0","0","0","0","0","0","0","0","NA","NA","0","0","5","NA","2","NA","0","0","0","0","0","NA","NA","NA","NA","2","NA","NA","5","NA","NA","5","NA","NA","2","0","NA","4","NA","vie 06 oct 2017 13:15:32 CEST","A template containing a practice and an experimental phase","yes","NA","discrimination_01.osexp","/home/usuario/Dropbox/Exp/01_discrimination_ok","no","mono","no","18","no","black","no","NA","yes","1080","prc5","legacy","2","2","/home/usuario/Dropbox/Exp/01_discrimination_ok/subject-15.csv","xpyriment","Jazzy James","3.1.2b1","0","same","a","l","NA","NA","NA","NA","m","NA","NA","a","NA","897","210886","NA","NA","NA","NA","71743","NA","NA","897","NA","10421","NA","space","NA","2","legacy","1024","2","48000","-16","experiment","dist_round_id_59_20_29.png","NA","dist_round_id_59_20_29.png","b","15","odd","L","A","NA","NA","295860","NA","2736","NA","NA","2729","323299","NA","321343","NA","NA","NA","2729","NA","323297","NA","316060","NA","NA","213626","285373","NA","NA","NA","NA","NA","2729","NA","NA","NA","NA","322399","NA","323775","NA","NA","NA","295860","NA","NA","NA","NA","NA","NA","321899","NA","NA","322399","NA","NA","322312","NA","NA","321899","NA","NA","285373","NA","Extended template","2","47380","6","yes","1920"
"dist_sharp_id_9_10_42.png","dist_sharp_id_9_10_42.png","80","50","50","A","L","6859.71428571","6859.71428571","#c0c0c0","yes","NA","practice","xpyriment","legacy","legacy","0","uniform","1","undefined","undefined","1","NA","A","undefined","NA","NA","NA","0","NA","0","0","NA","0","7","NA","4","NA","0","NA","0","NA","3","NA","3","NA","NA","0","0","0","0","0","0","0","0","NA","NA","0","0","7","NA","3","NA","0","0","0","0","0","NA","NA","NA","NA","3","NA","NA","7","NA","NA","7","NA","NA","3","0","NA","4","NA","vie 06 oct 2017 13:15:32 CEST","A template containing a practice and an experimental phase","yes","NA","discrimination_01.osexp","/home/usuario/Dropbox/Exp/01_discrimination_ok","no","mono","no","18","no","black","no","NA","yes","1080","prc8","legacy","3","3","/home/usuario/Dropbox/Exp/01_discrimination_ok/subject-15.csv","xpyriment","Jazzy James","3.1.2b1","0","same","a","l","NA","NA","NA","NA","m","NA","NA","a","NA","638","210886","NA","NA","NA","NA","71743","NA","NA","638","NA","10421","NA","space","NA","2","legacy","1024","2","48000","-16","experiment","dist_sharp_id_9_10_42.png","NA","dist_sharp_id_9_10_42.png","c","15","odd","L","A","NA","NA","295860","NA","2736","NA","NA","2729","325543","NA","323823","NA","NA","NA","2729","NA","325537","NA","316060","NA","NA","213626","285373","NA","NA","NA","NA","NA","2729","NA","NA","NA","NA","324899","NA","326005","NA","NA","NA","295860","NA","NA","NA","NA","NA","NA","324403","NA","NA","324898","NA","NA","324813","NA","NA","324402","NA","NA","285373","NA","Extended template","3","48018","7","yes","1920"
"curved_id_66_7_46.png","sharp_id_66_7_46.png","80","37.5","37.5","A","L","5890.88888889","5890.88888889","#c0c0c0","yes","NA","practice","xpyriment","legacy","legacy","0","uniform","0","undefined","undefined","0","NA","L","undefined","NA","NA","NA","0","NA","0","0","NA","0","9","NA","5","NA","0","NA","0","NA","4","NA","4","NA","NA","0","0","0","0","0","0","0","0","NA","NA","0","0","9","NA","4","NA","0","0","0","0","0","NA","NA","NA","NA","4","NA","NA","9","NA","NA","9","NA","NA","4","0","NA","4","NA","vie 06 oct 2017 13:15:32 CEST","A template containing a practice and an experimental phase","yes","NA","discrimination_01.osexp","/home/usuario/Dropbox/Exp/01_discrimination_ok","no","mono","no","18","no","black","no","NA","yes","1080","prc3","legacy","4","4","/home/usuario/Dropbox/Exp/01_discrimination_ok/subject-15.csv","xpyriment","Jazzy James","3.1.2b1","0","dif","a","l","NA","NA","NA","NA","m","NA","NA","a","NA","4544","210886","NA","NA","NA","NA","71743","NA","NA","4544","NA","10421","NA","space","NA","2","legacy","1024","2","48000","-16","experiment","sharp_id_66_7_46.png","NA","curved_id_66_7_46.png","a","15","odd","L","A","NA","NA","295860","NA","2736","NA","NA","2729","330561","NA","326053","NA","NA","NA","2729","NA","327553","NA","327558","NA","NA","213626","285373","NA","NA","NA","NA","NA","2729","NA","NA","NA","NA","327096","NA","331696","NA","NA","NA","295860","NA","NA","NA","NA","NA","NA","326605","NA","NA","331046","NA","NA","330964","NA","NA","326605","NA","NA","285373","NA","Extended template","3","53018","9","yes","1920"
"dist_sharp_id_25_13_179.png","dist_sharp_id_58_19_174.png","80","44.4444444444","44.4444444444","A","L","5358.6","5358.6","#c0c0c0","yes","NA","practice","xpyriment","legacy","legacy","0","uniform","1","undefined","undefined","1","NA","L","undefined","NA","NA","NA","0","NA","0","0","NA","0","11","NA","6","NA","0","NA","0","NA","5","NA","5","NA","NA","0","0","0","0","0","0","0","0","NA","NA","0","0","11","NA","5","NA","0","0","0","0","0","NA","NA","NA","NA","5","NA","NA","11","NA","NA","11","NA","NA","5","0","NA","4","NA","vie 06 oct 2017 13:15:32 CEST","A template containing a practice and an experimental phase","yes","NA","discrimination_01.osexp","/home/usuario/Dropbox/Exp/01_discrimination_ok","no","mono","no","18","no","black","no","NA","yes","1080","prc2","legacy","5","5","/home/usuario/Dropbox/Exp/01_discrimination_ok/subject-15.csv","xpyriment","Jazzy James","3.1.2b1","0","dif","l","l","NA","NA","NA","NA","m","NA","NA","l","NA","568","210886","NA","NA","NA","NA","71743","NA","NA","568","NA","10421","NA","space","NA","2","legacy","1024","2","48000","-16","experiment","dist_sharp_id_25_13_179.png","NA","dist_sharp_id_58_19_174.png","e","15","odd","L","A","NA","NA","295860","NA","2736","NA","NA","2729","333410","NA","331757","NA","NA","NA","2729","NA","333408","NA","327558","NA","NA","213626","285373","NA","NA","NA","NA","NA","2729","NA","NA","NA","NA","332839","NA","333879","NA","NA","NA","295860","NA","NA","NA","NA","NA","NA","332343","NA","NA","332838","NA","NA","332752","NA","NA","332343","NA","NA","285373","NA","Extended template","4","53586","10","yes","1920"
"dist_round_id_25_13_9.png","dist_round_id_58_19_46.png","80","36.3636363636","36.3636363636","A","L","4897.16666667","4897.16666667","#c0c0c0","yes","NA","practice","xpyriment","legacy","legacy","0","uniform","0","undefined","undefined","0","NA","L","undefined","NA","NA","NA","0","NA","0","0","NA","0","13","NA","7","NA","0","NA","0","NA","6","NA","6","NA","NA","0","0","0","0","0","0","0","0","NA","NA","0","0","13","NA","6","NA","0","0","0","0","0","NA","NA","NA","NA","6","NA","NA","13","NA","NA","13","NA","NA","6","0","NA","4","NA","vie 06 oct 2017 13:15:32 CEST","A template containing a practice and an experimental phase","yes","NA","discrimination_01.osexp","/home/usuario/Dropbox/Exp/01_discrimination_ok","no","mono","no","18","no","black","no","NA","yes","1080","prc1","legacy","6","6","/home/usuario/Dropbox/Exp/01_discrimination_ok/subject-15.csv","xpyriment","Jazzy James","3.1.2b1","0","dif","a","l","NA","NA","NA","NA","m","NA","NA","a","NA","4650","210886","NA","NA","NA","NA","71743","NA","NA","4650","NA","10421","NA","space","NA","2","legacy","1024","2","48000","-16","experiment","dist_round_id_25_13_9.png","NA","dist_round_id_58_19_46.png","d","15","odd","L","A","NA","NA","295860","NA","2736","NA","NA","2729","338593","NA","333971","NA","NA","NA","2729","NA","335585","NA","335590","NA","NA","213626","285373","NA","NA","NA","NA","NA","2729","NA","NA","NA","NA","335054","NA","339759","NA","NA","NA","295860","NA","NA","NA","NA","NA","NA","334563","NA","NA","339077","NA","NA","338995","NA","NA","334563","NA","NA","285373","NA","Extended template","4","58766","12","yes","1920"
"dist_round_id_5_9_23.png","dist_round_id_5_9_23.png","80","38.4615384615","38.4615384615","A","L","4685.28571429","4685.28571429","#c0c0c0","yes","NA","practice","xpyriment","legacy","legacy","0","uniform","1","undefined","undefined","1","NA","A","undefined","NA","NA","NA","0","NA","0","0","NA","0","15","NA","8","NA","0","NA","0","NA","7","NA","7","NA","NA","0","0","0","0","0","0","0","0","NA","NA","0","0","15","NA","7","NA","0","0","0","0","0","NA","NA","NA","NA","7","NA","NA","15","NA","NA","15","NA","NA","7","0","NA","4","NA","vie 06 oct 2017 13:15:32 CEST","A template containing a practice and an experimental phase","yes","NA","discrimination_01.osexp","/home/usuario/Dropbox/Exp/01_discrimination_ok","no","mono","no","18","no","black","no","NA","yes","1080","prc6","legacy","7","7","/home/usuario/Dropbox/Exp/01_discrimination_ok/subject-15.csv","xpyriment","Jazzy James","3.1.2b1","0","same","a","l","NA","NA","NA","NA","m","NA","NA","a","NA","5422","210886","NA","NA","NA","NA","71743","NA","NA","5422","NA","10421","NA","space","NA","2","legacy","1024","2","48000","-16","experiment","dist_round_id_5_9_23.png","NA","dist_round_id_5_9_23.png","b","15","odd","L","A","NA","NA","295860","NA","2736","NA","NA","2729","345276","NA","339814","NA","NA","NA","2729","NA","342271","NA","342274","NA","NA","213626","285373","NA","NA","NA","NA","NA","2729","NA","NA","NA","NA","340865","NA","346342","NA","NA","NA","295860","NA","NA","NA","NA","NA","NA","340368","NA","NA","345763","NA","NA","345680","NA","NA","340368","NA","NA","285373","NA","Extended template","5","65594","14","yes","1920"
"sharp_id_2_1_42.png","curved_id_2_1_42.png","80","33.3333333333","33.3333333333","A","L","9479.5","9479.5","#c0c0c0","yes","NA","80","xpyriment","legacy","legacy","0","uniform","0","undefined","undefined","0","NA","L","0","NA","NA","NA","0","NA","0","0","NA","0","17","NA","9","NA","0","NA","0","NA","8","NA","8","NA","NA","0","0","0","0","0","0","0","0","NA","NA","0","0","17","NA","8","NA","0","0","0","0","0","NA","NA","NA","NA","8","NA","NA","17","NA","NA","17","NA","NA","8","0","NA","4","NA","vie 06 oct 2017 13:15:32 CEST","A template containing a practice and an experimental phase","yes","NA","discrimination_01.osexp","/home/usuario/Dropbox/Exp/01_discrimination_ok","no","mono","no","18","no","black","no","NA","yes","1080","32","legacy","0","7","/home/usuario/Dropbox/Exp/01_discrimination_ok/subject-15.csv","xpyriment","Jazzy James","3.1.2b1","0","dif","a","l","NA","NA","NA","NA","m","NA","NA","a","NA","532","210886","NA","NA","NA","NA","71743","NA","NA","532","NA","85546","NA","space","NA","2","legacy","1024","2","48000","-16","experiment","curved_id_2_1_42.png","NA","sharp_id_2_1_42.png","a","15","odd","L","A","NA","NA","295860","NA","2736","NA","NA","2729","371499","NA","346394","NA","NA","NA","2729","NA","342271","NA","342274","NA","NA","213626","285373","NA","NA","NA","346454","346458","2729","NA","NA","NA","NA","371987","NA","372519","NA","NA","370972","295860","NA","NA","NA","NA","NA","NA","371495","NA","NA","371987","NA","NA","371903","NA","NA","371495","NA","NA","285373","NA","Extended template","5","151672","16","yes","1920"
"dist_sharp_id_36_15_130.png","dist_sharp_id_36_15_130.png","80","37.5","37.5","A","L","8971.70588235","8971.70588235","#c0c0c0","yes","NA","80","xpyriment","legacy","legacy","0","uniform","1","undefined","undefined","1","NA","A","0","NA","NA","NA","0","NA","0","0","NA","0","19","NA","10","NA","0","NA","0","NA","9","NA","9","NA","NA","0","0","0","0","0","0","0","0","NA","NA","0","0","19","NA","9","NA","0","0","0","0","0","NA","NA","NA","NA","9","NA","NA","19","NA","NA","19","NA","NA","9","0","NA","4","NA","vie 06 oct 2017 13:15:32 CEST","A template containing a practice and an experimental phase","yes","NA","discrimination_01.osexp","/home/usuario/Dropbox/Exp/01_discrimination_ok","no","mono","no","18","no","black","no","NA","yes","1080","66","legacy","1","7","/home/usuario/Dropbox/Exp/01_discrimination_ok/subject-15.csv","xpyriment","Jazzy James","3.1.2b1","0","same","a","l","NA","NA","NA","NA","m","NA","NA","a","NA","847","210886","NA","NA","NA","NA","71743","NA","NA","847","NA","85546","NA","space","NA","2","legacy","1024","2","48000","-16","experiment","dist_sharp_id_36_15_130.png","NA","dist_sharp_id_36_15_130.png","c","15","odd","L","A","NA","NA","295860","NA","2736","NA","NA","2729","373144","NA","372580","NA","NA","NA","2729","NA","342271","NA","342274","NA","NA","213626","285373","NA","NA","NA","346454","346458","2729","NA","NA","NA","NA","373631","NA","374479","NA","NA","370972","295860","NA","NA","NA","NA","NA","NA","373141","NA","NA","373631","NA","NA","373547","NA","NA","373141","NA","NA","285373","NA","Extended template","6","152519","17","yes","1920"
