"A","B","SOA","acc","accuracy","allow_1","allow_2","average_response_time","avg_rt","background","bidi","block","block_id","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_bienvenido","correct_inst1","correct_keyboard_response","correct_keyboard_response_1","correct_response","correct_w","correct_w_1","count_B","count_C","count_Main","count_about_this_template","count_bienvenido","count_blank","count_block_loop","count_config","count_cross","count_cross_1","count_end","count_end_1","count_end_of_experiment","count_end_of_practice","count_experiment","count_feedback","count_feedback_1","count_feedback_2","count_incorrecto","count_ins1","count_ins_2","count_inst1","count_inst2","count_inst_UR_1","count_inst_UR_def","count_inst_UR_def_1","count_instr_80","count_instr_80_1","count_instrucciones","count_instructions","count_insts_previous","count_inter","count_interbloque","count_keyboard_response","count_keyboard_response_1","count_logger","count_logger_1","count_loop_150","count_loop_80","count_loop_prc","count_loop_ur","count_loop_ur_PRC","count_new_form_multiple_choice","count_new_logger","count_new_loop","count_practice_loop","count_randomization","count_randomization_1","count_reset_feedback","count_response","count_seq_UR","count_seq_UR_1","count_target","count_target_1","count_target_1_1","count_trial_sequence","count_ur_inst_sp","count_ur_inst_sp_1","count_w","count_w_1","datetime","description","disable_garbage_collection","empty_column","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_var","fullscreen","height","id","keyboard_backend","live_row","live_row_loop_prc","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","resp","response","response_bienvenido","response_end_of_experiment","response_end_of_practice","response_feedback","response_ins1","response_inst1","response_inst_UR_def_1","response_instructions","response_keyboard_response","response_keyboard_response_1","response_time","response_time_bienvenido","response_time_end_of_experiment","response_time_end_of_practice","response_time_feedback","response_time_ins1","response_time_inst1","response_time_inst_UR_def_1","response_time_instructions","response_time_keyboard_response","response_time_keyboard_response_1","response_time_w","response_time_w_1","response_w","response_w_1","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stim_left","stim_name","stim_right","stim_type","subject_nr","subject_parity","tecla_dif","tecla_igual","time_B","time_C","time_Main","time_about_this_template","time_bienvenido","time_blank","time_block_loop","time_config","time_cross","time_cross_1","time_end","time_end_1","time_end_of_experiment","time_end_of_practice","time_experiment","time_feedback","time_feedback_1","time_feedback_2","time_incorrecto","time_ins1","time_ins_2","time_inst1","time_inst2","time_inst_UR_1","time_inst_UR_def","time_inst_UR_def_1","time_instr_80","time_instr_80_1","time_instrucciones","time_instructions","time_insts_previous","time_inter","time_interbloque","time_keyboard_response","time_keyboard_response_1","time_logger","time_logger_1","time_loop_150","time_loop_80","time_loop_prc","time_loop_ur","time_loop_ur_PRC","time_new_form_multiple_choice","time_new_logger","time_new_loop","time_practice_loop","time_randomization","time_randomization_1","time_reset_feedback","time_response","time_seq_UR","time_seq_UR_1","time_target","time_target_1","time_target_1_1","time_trial_sequence","time_ur_inst_sp","time_ur_inst_sp_1","time_w","time_w_1","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"curved_id_67_7_19.png","sharp_id_67_7_19.png","80","50","50","A","L","7439.66666667","7439.66666667","#c0c0c0","yes","NA","practice","xpyriment","legacy","legacy","0","uniform","1","undefined","undefined","1","NA","L","undefined","NA","NA","NA","0","NA","0","0","NA","0","1","NA","1","NA","0","NA","0","NA","0","NA","0","NA","NA","0","0","0","0","0","0","0","0","NA","NA","0","0","1","NA","0","NA","0","0","0","0","0","NA","NA","NA","NA","0","NA","NA","1","NA","NA","1","NA","NA","0","0","NA","4","NA","lun 09 oct 2017 10:36:10 CEST","A template containing a practice and an experimental phase","yes","NA","discrimination_01.osexp","/home/usuario/Dropbox/Exp/01_discrimination_ok","no","mono","no","18","no","black","no","NA","yes","1080","prc4","legacy","0","0","/home/usuario/Dropbox/Exp/01_discrimination_ok/subject-20.csv","xpyriment","Jazzy James","3.1.2b1","0","dif","l","a","NA","NA","NA","NA","a","NA","NA","l","NA","6902","78645","NA","NA","NA","NA","10571","NA","NA","6902","NA","13915","NA","space","NA","2","legacy","1024","2","48000","-16","experiment","sharp_id_67_7_19.png","NA","curved_id_67_7_19.png","a","20","even","L","A","NA","NA","105458","NA","2253","NA","NA","2245","111151","NA","NA","NA","NA","NA","2245","NA","108144","NA","108148","NA","NA","80901","91476","NA","NA","NA","NA","NA","2245","NA","NA","NA","NA","106642","NA","113602","NA","NA","NA","105458","NA","NA","NA","NA","NA","NA","106150","NA","NA","111637","NA","NA","111554","NA","NA","106150","NA","NA","91476","NA","Extended template","1","22319","3","yes","1920"
"dist_sharp_id_9_10_42.png","dist_sharp_id_9_10_42.png","80","66.6666666667","66.6666666667","A","L","6052","6052","#c0c0c0","yes","NA","practice","xpyriment","legacy","legacy","0","uniform","1","undefined","undefined","1","NA","A","undefined","NA","NA","NA","0","NA","0","0","NA","0","3","NA","2","NA","0","NA","0","NA","1","NA","1","NA","NA","0","0","0","0","0","0","0","0","NA","NA","0","0","3","NA","1","NA","0","0","0","0","0","NA","NA","NA","NA","1","NA","NA","3","NA","NA","3","NA","NA","1","0","NA","4","NA","lun 09 oct 2017 10:36:10 CEST","A template containing a practice and an experimental phase","yes","NA","discrimination_01.osexp","/home/usuario/Dropbox/Exp/01_discrimination_ok","no","mono","no","18","no","black","no","NA","yes","1080","prc8","legacy","1","1","/home/usuario/Dropbox/Exp/01_discrimination_ok/subject-20.csv","xpyriment","Jazzy James","3.1.2b1","0","same","a","a","NA","NA","NA","NA","a","NA","NA","a","NA","1889","78645","NA","NA","NA","NA","10571","NA","NA","1889","NA","13915","NA","space","NA","2","legacy","1024","2","48000","-16","experiment","dist_sharp_id_9_10_42.png","NA","dist_sharp_id_9_10_42.png","c","20","even","L","A","NA","NA","105458","NA","2253","NA","NA","2245","116690","NA","113702","NA","NA","NA","2245","NA","116688","NA","108148","NA","NA","80901","91476","NA","NA","NA","NA","NA","2245","NA","NA","NA","NA","114798","NA","117168","NA","NA","NA","105458","NA","NA","NA","NA","NA","NA","114300","NA","NA","114798","NA","NA","114711","NA","NA","114300","NA","NA","91476","NA","Extended template","2","24208","4","yes","1920"
"dist_round_id_59_20_29.png","dist_round_id_59_20_29.png","80","40","40","A","L","5251.33333333","5251.33333333","#c0c0c0","yes","NA","practice","xpyriment","legacy","legacy","0","uniform","0","undefined","undefined","0","NA","A","undefined","NA","NA","NA","0","NA","0","0","NA","0","5","NA","3","NA","0","NA","0","NA","2","NA","2","NA","NA","0","0","0","0","0","0","0","0","NA","NA","0","0","5","NA","2","NA","0","0","0","0","0","NA","NA","NA","NA","2","NA","NA","5","NA","NA","5","NA","NA","2","0","NA","4","NA","lun 09 oct 2017 10:36:10 CEST","A template containing a practice and an experimental phase","yes","NA","discrimination_01.osexp","/home/usuario/Dropbox/Exp/01_discrimination_ok","no","mono","no","18","no","black","no","NA","yes","1080","prc5","legacy","2","2","/home/usuario/Dropbox/Exp/01_discrimination_ok/subject-20.csv","xpyriment","Jazzy James","3.1.2b1","0","same","l","a","NA","NA","NA","NA","a","NA","NA","l","NA","6034","78645","NA","NA","NA","NA","10571","NA","NA","6034","NA","13915","NA","space","NA","2","legacy","1024","2","48000","-16","experiment","dist_round_id_59_20_29.png","NA","dist_round_id_59_20_29.png","b","20","even","L","A","NA","NA","105458","NA","2253","NA","NA","2245","122589","NA","117212","NA","NA","NA","2245","NA","119584","NA","119586","NA","NA","80901","91476","NA","NA","NA","NA","NA","2245","NA","NA","NA","NA","118317","NA","124408","NA","NA","NA","105458","NA","NA","NA","NA","NA","NA","117817","NA","NA","123074","NA","NA","122992","NA","NA","117817","NA","NA","91476","NA","Extended template","2","31508","6","yes","1920"
"curved_id_66_7_46.png","sharp_id_66_7_46.png","80","28.5714285714","28.5714285714","A","L","5326","5326","#c0c0c0","yes","NA","practice","xpyriment","legacy","legacy","0","uniform","0","undefined","undefined","0","NA","L","undefined","NA","NA","NA","0","NA","0","0","NA","0","7","NA","4","NA","0","NA","0","NA","3","NA","3","NA","NA","0","0","0","0","0","0","0","0","NA","NA","0","0","7","NA","3","NA","0","0","0","0","0","NA","NA","NA","NA","3","NA","NA","7","NA","NA","7","NA","NA","3","0","NA","4","NA","lun 09 oct 2017 10:36:10 CEST","A template containing a practice and an experimental phase","yes","NA","discrimination_01.osexp","/home/usuario/Dropbox/Exp/01_discrimination_ok","no","mono","no","18","no","black","no","NA","yes","1080","prc3","legacy","3","3","/home/usuario/Dropbox/Exp/01_discrimination_ok/subject-20.csv","xpyriment","Jazzy James","3.1.2b1","0","dif","a","a","NA","NA","NA","NA","a","NA","NA","a","NA","8230","78645","NA","NA","NA","NA","10571","NA","NA","8230","NA","13915","NA","space","NA","2","legacy","1024","2","48000","-16","experiment","sharp_id_66_7_46.png","NA","curved_id_66_7_46.png","a","20","even","L","A","NA","NA","105458","NA","2253","NA","NA","2245","131381","NA","124460","NA","NA","NA","2245","NA","128376","NA","128378","NA","NA","80901","91476","NA","NA","NA","NA","NA","2245","NA","NA","NA","NA","125505","NA","133791","NA","NA","NA","105458","NA","NA","NA","NA","NA","NA","125009","NA","NA","131866","NA","NA","131784","NA","NA","125009","NA","NA","91476","NA","Extended template","2","42608","8","yes","1920"
"dist_round_id_5_9_23.png","dist_round_id_5_9_23.png","80","22.2222222222","22.2222222222","A","L","5049.3","5049.3","#c0c0c0","yes","NA","practice","xpyriment","legacy","legacy","0","uniform","0","undefined","undefined","0","NA","A","undefined","NA","NA","NA","0","NA","0","0","NA","0","9","NA","5","NA","0","NA","0","NA","4","NA","4","NA","NA","0","0","0","0","0","0","0","0","NA","NA","0","0","9","NA","4","NA","0","0","0","0","0","NA","NA","NA","NA","4","NA","NA","9","NA","NA","9","NA","NA","4","0","NA","4","NA","lun 09 oct 2017 10:36:10 CEST","A template containing a practice and an experimental phase","yes","NA","discrimination_01.osexp","/home/usuario/Dropbox/Exp/01_discrimination_ok","no","mono","no","18","no","black","no","NA","yes","1080","prc6","legacy","4","4","/home/usuario/Dropbox/Exp/01_discrimination_ok/subject-20.csv","xpyriment","Jazzy James","3.1.2b1","0","same","l","a","NA","NA","NA","NA","a","NA","NA","l","NA","6582","78645","NA","NA","NA","NA","10571","NA","NA","6582","NA","13915","NA","space","NA","2","legacy","1024","2","48000","-16","experiment","dist_round_id_5_9_23.png","NA","dist_round_id_5_9_23.png","b","20","even","L","A","NA","NA","105458","NA","2253","NA","NA","2245","139231","NA","133872","NA","NA","NA","2245","NA","136223","NA","136226","NA","NA","80901","91476","NA","NA","NA","NA","NA","2245","NA","NA","NA","NA","134920","NA","141558","NA","NA","NA","105458","NA","NA","NA","NA","NA","NA","134426","NA","NA","139716","NA","NA","139633","NA","NA","134426","NA","NA","91476","NA","Extended template","2","50493","10","yes","1920"
"dist_sharp_id_8_9_164.png","dist_sharp_id_8_9_164.png","80","30","30","A","L","4730.36363636","4730.36363636","#c0c0c0","yes","NA","practice","xpyriment","legacy","legacy","0","uniform","1","undefined","undefined","1","NA","A","undefined","NA","NA","NA","0","NA","0","0","NA","0","11","NA","6","NA","0","NA","0","NA","5","NA","5","NA","NA","0","0","0","0","0","0","0","0","NA","NA","0","0","11","NA","5","NA","0","0","0","0","0","NA","NA","NA","NA","5","NA","NA","11","NA","NA","11","NA","NA","5","0","NA","4","NA","lun 09 oct 2017 10:36:10 CEST","A template containing a practice and an experimental phase","yes","NA","discrimination_01.osexp","/home/usuario/Dropbox/Exp/01_discrimination_ok","no","mono","no","18","no","black","no","NA","yes","1080","prc7","legacy","5","5","/home/usuario/Dropbox/Exp/01_discrimination_ok/subject-20.csv","xpyriment","Jazzy James","3.1.2b1","0","same","a","a","NA","NA","NA","NA","a","NA","NA","a","NA","1541","78645","NA","NA","NA","NA","10571","NA","NA","1541","NA","13915","NA","space","NA","2","legacy","1024","2","48000","-16","experiment","dist_sharp_id_8_9_164.png","NA","dist_sharp_id_8_9_164.png","c","20","even","L","A","NA","NA","105458","NA","2253","NA","NA","2245","144202","NA","141609","NA","NA","NA","2245","NA","144199","NA","136226","NA","NA","80901","91476","NA","NA","NA","NA","NA","2245","NA","NA","NA","NA","142658","NA","144677","NA","NA","NA","105458","NA","NA","NA","NA","NA","NA","142161","NA","NA","142658","NA","NA","142573","NA","NA","142161","NA","NA","91476","NA","Extended template","3","52034","11","yes","1920"
"dist_round_id_25_13_9.png","dist_round_id_58_19_46.png","80","36.3636363636","36.3636363636","A","L","4397.33333333","4397.33333333","#c0c0c0","yes","NA","practice","xpyriment","legacy","legacy","0","uniform","1","undefined","undefined","1","NA","L","undefined","NA","NA","NA","0","NA","0","0","NA","0","13","NA","7","NA","0","NA","0","NA","6","NA","6","NA","NA","0","0","0","0","0","0","0","0","NA","NA","0","0","13","NA","6","NA","0","0","0","0","0","NA","NA","NA","NA","6","NA","NA","13","NA","NA","13","NA","NA","6","0","NA","4","NA","lun 09 oct 2017 10:36:10 CEST","A template containing a practice and an experimental phase","yes","NA","discrimination_01.osexp","/home/usuario/Dropbox/Exp/01_discrimination_ok","no","mono","no","18","no","black","no","NA","yes","1080","prc1","legacy","6","6","/home/usuario/Dropbox/Exp/01_discrimination_ok/subject-20.csv","xpyriment","Jazzy James","3.1.2b1","0","dif","l","a","NA","NA","NA","NA","a","NA","NA","l","NA","734","78645","NA","NA","NA","NA","10571","NA","NA","734","NA","13915","NA","space","NA","2","legacy","1024","2","48000","-16","experiment","dist_round_id_25_13_9.png","NA","dist_round_id_58_19_46.png","d","20","even","L","A","NA","NA","105458","NA","2253","NA","NA","2245","146580","NA","144755","NA","NA","NA","2245","NA","146575","NA","136226","NA","NA","80901","91476","NA","NA","NA","NA","NA","2245","NA","NA","NA","NA","145840","NA","147046","NA","NA","NA","105458","NA","NA","NA","NA","NA","NA","145347","NA","NA","145840","NA","NA","145754","NA","NA","145346","NA","NA","91476","NA","Extended template","4","52768","12","yes","1920"
"dist_sharp_id_25_13_179.png","dist_sharp_id_58_19_174.png","80","41.6666666667","41.6666666667","A","L","4112.92307692","4112.92307692","#c0c0c0","yes","NA","practice","xpyriment","legacy","legacy","0","uniform","1","undefined","undefined","1","NA","L","undefined","NA","NA","NA","0","NA","0","0","NA","0","15","NA","8","NA","0","NA","0","NA","7","NA","7","NA","NA","0","0","0","0","0","0","0","0","NA","NA","0","0","15","NA","7","NA","0","0","0","0","0","NA","NA","NA","NA","7","NA","NA","15","NA","NA","15","NA","NA","7","0","NA","4","NA","lun 09 oct 2017 10:36:10 CEST","A template containing a practice and an experimental phase","yes","NA","discrimination_01.osexp","/home/usuario/Dropbox/Exp/01_discrimination_ok","no","mono","no","18","no","black","no","NA","yes","1080","prc2","legacy","7","7","/home/usuario/Dropbox/Exp/01_discrimination_ok/subject-20.csv","xpyriment","Jazzy James","3.1.2b1","0","dif","l","a","NA","NA","NA","NA","a","NA","NA","l","NA","700","78645","NA","NA","NA","NA","10571","NA","NA","700","NA","13915","NA","space","NA","2","legacy","1024","2","48000","-16","experiment","dist_sharp_id_25_13_179.png","NA","dist_sharp_id_58_19_174.png","e","20","even","L","A","NA","NA","105458","NA","2253","NA","NA","2245","148989","NA","147133","NA","NA","NA","2245","NA","148984","NA","136226","NA","NA","80901","91476","NA","NA","NA","NA","NA","2245","NA","NA","NA","NA","148283","NA","149464","NA","NA","NA","105458","NA","NA","NA","NA","NA","NA","147790","NA","NA","148283","NA","NA","148198","NA","NA","147790","NA","NA","91476","NA","Extended template","5","53468","13","yes","1920"
"dist_sharp_id_26_13_107.png","dist_sharp_id_26_13_107.png","80","42.8571428571","42.8571428571","A","L","8497.46666667","8497.46666667","#c0c0c0","yes","NA","80","xpyriment","legacy","legacy","0","uniform","1","undefined","undefined","1","NA","A","0","NA","NA","NA","0","NA","0","0","NA","0","17","NA","9","NA","0","NA","0","NA","8","NA","8","NA","NA","0","0","0","0","0","0","0","0","NA","NA","0","0","17","NA","8","NA","0","0","0","0","0","NA","NA","NA","NA","8","NA","NA","17","NA","NA","17","NA","NA","8","0","NA","4","NA","lun 09 oct 2017 10:36:10 CEST","A template containing a practice and an experimental phase","yes","NA","discrimination_01.osexp","/home/usuario/Dropbox/Exp/01_discrimination_ok","no","mono","no","18","no","black","no","NA","yes","1080","55","legacy","0","7","/home/usuario/Dropbox/Exp/01_discrimination_ok/subject-20.csv","xpyriment","Jazzy James","3.1.2b1","0","same","a","a","NA","NA","NA","NA","a","NA","NA","a","NA","1176","78645","NA","NA","NA","NA","10571","NA","NA","1176","NA","72818","NA","space","NA","2","legacy","1024","2","48000","-16","experiment","dist_sharp_id_26_13_107.png","NA","dist_sharp_id_26_13_107.png","c","20","even","L","A","NA","NA","105458","NA","2253","NA","NA","2245","164870","NA","149548","NA","NA","NA","2245","NA","148984","NA","136226","NA","NA","80901","91476","NA","NA","NA","149619","149625","2245","NA","NA","NA","NA","165358","NA","166535","NA","NA","164348","105458","NA","NA","NA","NA","NA","NA","164867","NA","NA","165358","NA","NA","165274","NA","NA","164867","NA","NA","91476","NA","Extended template","6","127462","15","yes","1920"
"dist_sharp_id_15_11_20.png","dist_sharp_id_48_17_82.png","80","46.6666666667","46.6666666667","A","L","8006.625","8006.625","#c0c0c0","yes","NA","80","xpyriment","legacy","legacy","0","uniform","1","undefined","undefined","1","NA","L","0","NA","NA","NA","0","NA","0","0","NA","0","19","NA","10","NA","0","NA","0","NA","9","NA","9","NA","NA","0","0","0","0","0","0","0","0","NA","NA","0","0","19","NA","9","NA","0","0","0","0","0","NA","NA","NA","NA","9","NA","NA","19","NA","NA","19","NA","NA","9","0","NA","4","NA","lun 09 oct 2017 10:36:10 CEST","A template containing a practice and an experimental phase","yes","NA","discrimination_01.osexp","/home/usuario/Dropbox/Exp/01_discrimination_ok","no","mono","no","18","no","black","no","NA","yes","1080","16","legacy","1","7","/home/usuario/Dropbox/Exp/01_discrimination_ok/subject-20.csv","xpyriment","Jazzy James","3.1.2b1","0","dif","l","a","NA","NA","NA","NA","a","NA","NA","l","NA","644","78645","NA","NA","NA","NA","10571","NA","NA","644","NA","72818","NA","space","NA","2","legacy","1024","2","48000","-16","experiment","dist_sharp_id_48_17_82.png","NA","dist_sharp_id_15_11_20.png","e","20","even","L","A","NA","NA","105458","NA","2253","NA","NA","2245","167181","NA","166569","NA","NA","NA","2245","NA","148984","NA","136226","NA","NA","80901","91476","NA","NA","NA","149619","149625","2245","NA","NA","NA","NA","167674","NA","168318","NA","NA","164348","105458","NA","NA","NA","NA","NA","NA","167175","NA","NA","167674","NA","NA","167586","NA","NA","167175","NA","NA","91476","NA","Extended template","7","128106","16","yes","1920"
"dist_sharp_id_16_11_165.png","dist_sharp_id_49_18_102.png","80","50","50","A","L","7570.17647059","7570.17647059","#c0c0c0","yes","NA","80","xpyriment","legacy","legacy","0","uniform","1","undefined","undefined","1","NA","L","0","NA","NA","NA","0","NA","0","0","NA","0","21","NA","11","NA","0","NA","0","NA","10","NA","10","NA","NA","0","0","0","0","0","0","0","0","NA","NA","0","0","21","NA","10","NA","0","0","0","0","0","NA","NA","NA","NA","10","NA","NA","21","NA","NA","21","NA","NA","10","0","NA","4","NA","lun 09 oct 2017 10:36:10 CEST","A template containing a practice and an experimental phase","yes","NA","discrimination_01.osexp","/home/usuario/Dropbox/Exp/01_discrimination_ok","no","mono","no","18","no","black","no","NA","yes","1080","17","legacy","2","7","/home/usuario/Dropbox/Exp/01_discrimination_ok/subject-20.csv","xpyriment","Jazzy James","3.1.2b1","0","dif","l","a","NA","NA","NA","NA","a","NA","NA","l","NA","587","78645","NA","NA","NA","NA","10571","NA","NA","587","NA","72818","NA","space","NA","2","legacy","1024","2","48000","-16","experiment","dist_sharp_id_16_11_165.png","NA","dist_sharp_id_49_18_102.png","e","20","even","L","A","NA","NA","105458","NA","2253","NA","NA","2245","169056","NA","168472","NA","NA","NA","2245","NA","148984","NA","136226","NA","NA","80901","91476","NA","NA","NA","149619","149625","2245","NA","NA","NA","NA","169547","NA","170134","NA","NA","164348","105458","NA","NA","NA","NA","NA","NA","169053","NA","NA","169547","NA","NA","169462","NA","NA","169053","NA","NA","91476","NA","Extended template","8","128693","17","yes","1920"
