part,age,key,sex,style,stim,hemifield,response,rt
85,24,Right,male,Abstract,322ABSTRACTO,Left,0,675
85,24,Right,male,Representational,389POSTIMPRES,Right,1,348
85,24,Right,male,Representational,216POSTIMPRES,Right,1,221
85,24,Right,male,Abstract,117ABSTRACTO,Left,0,508
85,24,Right,male,Representational,402IMPRESION,Left,1,402
85,24,Right,male,Representational,106REALISTA,Left,1,397
85,24,Right,male,Representational,177REALISTA,Left,1,525
85,24,Right,male,Abstract,364ABSTRACTO,Left,0,543
85,24,Right,male,Abstract,136ABSTRACTO,Right,0,562
85,24,Right,male,Representational,020POSTIMPRES,Right,1,565
85,24,Right,male,Representational,062REALISTA,Left,1,563
85,24,Right,male,Abstract,343ABSTRACTO,Left,1,276
85,24,Right,male,Representational,030POSTIMPRES,Right,0,363
85,24,Right,male,Abstract,404ABSTRACTO,Right,0,520
85,24,Right,male,Representational,105REALISTA,Left,1,463
85,24,Right,male,Representational,159REALISTA,Right,0,266
85,24,Right,male,Abstract,348ABSTRACTO,Right,0,439
85,24,Right,male,Representational,350REALISTA,Right,0,574
85,24,Right,male,Abstract,188ABSTRACTO,Right,1,602
85,24,Right,male,Representational,396REALISTA,Left,1,514
85,24,Right,male,Representational,010REALISTA,Left,1,574
85,24,Right,male,Representational,076REALISTA,Left,1,559
85,24,Right,male,Abstract,151ABSTRACTO,Left,0,593
85,24,Right,male,Representational,266POSTIMPRES,Left,1,351
85,24,Right,male,Representational,332IMPRESION,Left,1,616
85,24,Right,male,Representational,254IMPRESION,Left,1,615
85,24,Right,male,Representational,046REALISTA,Right,0,512
85,24,Right,male,Representational,020POSTIMPRES,Left,0,665
85,24,Right,male,Abstract,036ABSTRACTO,Left,1,848
85,24,Right,male,Abstract,136ABSTRACTO,Left,0,518
85,24,Right,male,Representational,241POSTIMPRES,Left,1,541
85,24,Right,male,Representational,101IMPRESION,Left,1,351
85,24,Right,male,Representational,093REALISTA,Left,1,350
85,24,Right,male,Abstract,185ABSTRACTO,Right,0,371
85,24,Right,male,Representational,274REALISTA,Left,1,499
85,24,Right,male,Representational,017REALISTA,Right,0,433
85,24,Right,male,Representational,303REALISTA,Right,1,424
85,24,Right,male,Representational,345POSTIMPRES,Right,1,315
85,24,Right,male,Abstract,098ABSTRACTO,Left,1,529
85,24,Right,male,Abstract,051ABSTRACTO,Left,1,539
85,24,Right,male,Abstract,269ABSTRACTO,Right,0,421
85,24,Right,male,Representational,071POSTIMPRES,Left,1,283
85,24,Right,male,Abstract,390ABSTRACTO,Left,1,290
85,24,Right,male,Representational,385POSTIMPRES,Right,1,365
85,24,Right,male,Abstract,262ABSTRACTO,Right,0,454
85,24,Right,male,Abstract,180ABSTRACTO,Right,0,352
85,24,Right,male,Representational,093REALISTA,Right,0,307
85,24,Right,male,Representational,046REALISTA,Left,1,255
85,24,Right,male,Representational,127IMPRESION,Right,1,386
85,24,Right,male,Representational,402IMPRESION,Right,1,277
85,24,Right,male,Representational,205REALISTA,Right,1,369
85,24,Right,male,Abstract,008ABSTRACTO,Left,1,391
85,24,Right,male,Abstract,084ABSTRACTO,Right,0,202
85,24,Right,male,Abstract,099ABSTRACTO,Left,1,637
85,24,Right,male,Abstract,342ABSTRACTO,Left,0,763
85,24,Right,male,Abstract,132ABSTRACTO,Right,0,286
85,24,Right,male,Representational,161REALISTA,Right,1,482
85,24,Right,male,Representational,165REALISTA,Right,1,313
85,24,Right,male,Abstract,368ABSTRACTO,Left,0,128
